path,provenance,source_modified_at_sydney,package_modified_at_sydney,snapshot_at_sydney,size_bytes,sha256
docs/sound_family_design_and_screening_manual.md,Mac source snapshot,2026-09-24T01:31:02+10:00,2026-09-24T01:31:02+10:00,2026-09-25T19:44:20+10:00,24787,8a25962e0752ebd544a7117385ee46b40152b371fc81b1870d3609fd87f48887
handoff/audio_v0_turn_cues_tutorial_overleaf_gate_20260924.md,Mac source snapshot,2026-09-24T18:23:05+10:00,2026-09-24T18:23:05+10:00,2026-09-25T19:44:20+10:00,7491,d63ff92cc15560c3b42d664f4971768cb9d4a015d2acd5181874b60c1f60bf6e
handoff/environment_and_direct_methods_20260923.md,Mac source snapshot,2026-09-23T03:07:55+10:00,2026-09-23T03:07:55+10:00,2026-09-25T19:44:20+10:00,5215,9794708b43a0d96d02c34b5e07b01df99eea5ff6af95d467d5b840e31c70f096
handoff/formal_data_integrity_and_pilot_records_20260918.md,Mac source snapshot,2026-09-18T23:19:45+10:00,2026-09-18T23:19:45+10:00,2026-09-25T19:44:20+10:00,4282,feee8243cbf2df5559761e64cd5ba4e3a8088a4aecba2f74317c274b7e638a02
handoff/game_interaction_data_validation_20260921.md,Mac source snapshot,2026-09-21T17:48:59+10:00,2026-09-21T17:48:59+10:00,2026-09-25T19:44:20+10:00,11503,0daf8f752b8bb659a52906531ffa90a523fb63de61f078429e748d3ac1a69e6f
handoff/independent_excerpt_identification_candidate_20260923.md,Mac source snapshot,2026-09-23T00:31:18+10:00,2026-09-23T00:31:18+10:00,2026-09-25T19:44:20+10:00,7786,cdbe9fccfae3cc587a4c0959568fd7e9b938cab912400c9a842bd117428fc4ac
handoff/independent_excerpt_resolution_and_tram_meeting_20260923.md,Mac source snapshot,2026-09-23T05:31:13+10:00,2026-09-23T05:31:13+10:00,2026-09-25T19:44:20+10:00,9668,e43118c5d3f5024f31496b2b749c19ef2908d27d2c6775e0c74ce15b45cc9ed6
handoff/overleaf_sync_and_render_audit_20260924.md,Mac source snapshot,2026-09-24T18:42:08+10:00,2026-09-24T18:42:08+10:00,2026-09-25T19:44:20+10:00,3442,248d6514215a97daac6edd8d3fe5799861365697fb204b9d9162d65aa54abc1e
handoff/paper2_audio_v0_status_20260924.md,Mac source snapshot,2026-09-24T03:38:06+10:00,2026-09-24T03:38:06+10:00,2026-09-25T19:44:20+10:00,4288,89643af3e056f390984025105433d34063454c98b8e14fb1d9f2fc8148de02fb
handoff/quick_tutorial_full_flights_m1_and_downloadable_review_20260923.md,Mac source snapshot,2026-09-24T03:23:36+10:00,2026-09-24T03:23:36+10:00,2026-09-25T19:44:20+10:00,11258,a7c022aca17f5c7e8ed800fd2f8c0775467ef83c7f49ee093a70d1a2bc03e96c
